popularity,year,artists,Song Title,valence,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,Decade,Rank,acousticness percent
100,2020,"Bad Bunny, Jhay Cortez",Dakiti,0.145,0.401,0.731,205090,0.573,5.22e-05,0.113,-10.059,0.0544,109.928,2020s,1.0,40.1
99,2020,"24kGoldn, iann dior",Mood (feat. iann dior),0.7559999999999999,0.221,0.7,140526,0.722,0.0,0.272,-3.5580000000000003,0.0369,90.989,2020s,2.0,22.1
97,2020,BTS,Dynamite,0.737,0.0112,0.746,199054,0.765,0.0,0.0936,-4.41,0.0993,114.044,2020s,3.0,1.1199999999999999
96,2020,"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),0.357,0.0194,0.935,187541,0.454,0.0,0.0824,-7.508999999999999,0.375,133.07299999999998,2020s,4.0,1.94
96,2020,Ariana Grande,positions,0.682,0.468,0.737,172325,0.802,0.0,0.0931,-4.771,0.0878,144.015,2020s,5.0,46.800000000000004
96,2020,Pop Smoke,What You Know Bout Love,0.5429999999999999,0.65,0.7090000000000001,160000,0.5479999999999999,1.59e-06,0.133,-8.493,0.353,83.995,2020s,6.0,65.0
96,2020,The Weeknd,Blinding Lights,0.334,0.00146,0.514,200040,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,2020s,7.0,0.146
95,2020,"Justin Bieber, Chance the Rapper",Holy (feat. Chance The Rapper),0.3720000000000001,0.196,0.6729999999999999,212093,0.7040000000000001,0.0,0.0898,-8.056000000000001,0.36,86.919,2020s,9.0,19.6
95,2020,"Pop Smoke, Lil Baby, DaBaby",For The Night (feat. Lil Baby & DaBaby),0.347,0.114,0.823,190476,0.586,0.0,0.193,-6.606,0.2,125.971,2020s,8.0,11.4
95,2020,Tate McRae,you broke me first,0.0799,0.7859999999999999,0.642,169266,0.374,0.0,0.0906,-9.386,0.0545,124.099,2020s,11.0,78.6
95,2020,"Justin Bieber, benny blanco",Lonely (with benny blanco),0.0927,0.8640000000000001,0.631,149297,0.239,0.0,0.116,-7.0710000000000015,0.0398,79.859,2020s,10.0,86.4
94,2019,Harry Styles,Watermelon Sugar,0.557,0.122,0.5479999999999999,174000,0.816,0.0,0.335,-4.209,0.0465,95.39,2010s,1.0,12.2
94,2020,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",Relación - Remix,0.835,0.0337,0.7929999999999999,247308,0.7709999999999999,1.51e-06,0.284,-3.417,0.0959,171.94299999999996,2020s,14.0,3.37
94,2020,"Joel Corry, MNEK",Head & Heart (feat. MNEK),0.905,0.168,0.7340000000000001,166028,0.8740000000000001,1.14e-05,0.0489,-3.158,0.0662,122.953,2020s,13.0,16.8
94,2020,"Internet Money, Gunna, Don Toliver, NAV",Lemonade,0.471,0.256,0.799,195429,0.66,0.0,0.111,-6.153,0.079,140.04,2020s,12.0,25.6
